cell_id,area_m2,elev_mean,slope_mean,dist_water_m,building_density,hist_event_score,elev_norm,slope_norm,water_norm,imperv_norm,event_norm,score_0_1,score_0_10,classe,chuva_proxy,classe_ia,risco_previsto
11016,160000.0,,,3195.931141152248,0.0,0.0,0.0,0.0,0.8633772010332772,0.0,0.0,0.2158443002583193,2.16,Baixa,7,Baixa,Baixa
11017,160000.0,,,2809.1230990544327,0.0,0.0,0.0,0.0,0.8799128505952349,0.0,0.0,0.2199782126488087,2.2,Baixa,7,Baixa,Baixa
11018,160000.0,,,2426.5962400645994,0.0,0.0,0.0,0.0,0.8962654839427412,0.0,0.0,0.2240663709856853,2.24,Baixa,7,Baixa,Baixa
11019,160000.0,,,2050.7476780311417,0.0,0.0,0.0,0.0,0.9123326269019338,0.0,0.0,0.2280831567254834,2.28,Baixa,7,Baixa,Baixa
11020,160000.0,,,1686.0494552665382,0.0,0.0,0.0,0.0,0.9279231042218944,0.0,0.0,0.2319807760554736,2.32,Baixa,7,Baixa,Baixa
11021,160000.0,,,1341.6256900712135,0.0,0.0,0.0,0.0,0.9426468691446508,0.0,0.0,0.2356617172861627,2.36,Baixa,7,Baixa,Baixa
11022,160000.0,,,1037.8613678683344,0.0,0.0,0.0,0.0,0.9556324843198966,0.0,0.0,0.2389081210799741,2.39,Baixa,7,Baixa,Baixa
11023,160000.0,,,821.1899570550046,0.0,0.0,0.0,0.0,0.9648949662990024,0.0,0.0,0.2412237415747505,2.41,Baixa,7,Baixa,Baixa
11024,160000.0,,,691.5211795174478,0.0,0.0,0.0,0.0,0.97043817437932,0.0,0.0,0.24260954359483,2.43,Baixa,7,Baixa,Baixa
11025,160000.0,,,674.9202411289295,0.0,0.0,0.0,0.0,0.9711478475756254,0.0,0.0,0.2427869618939063,2.43,Baixa,7,Baixa,Baixa
11026,160000.0,,,792.7312159402397,0.0,0.0,0.0,0.0,0.9661115484762912,0.0,0.0,0.2415278871190728,2.42,Baixa,7,Baixa,Baixa
11027,160000.0,,,1058.927867971492,0.0,0.0,0.0,0.0,0.9547319129116252,0.0,0.0,0.2386829782279062,2.39,Baixa,7,Baixa,Baixa
11028,160000.0,,,1390.7672984389617,0.0,0.0,0.0,0.0,0.9405461154724338,0.0,0.0,0.2351365288681084,2.35,Baixa,7,Baixa,Baixa
11029,160000.0,,,1751.2797982936308,0.0,0.0,0.0,0.0,0.925134573540752,0.0,0.0,0.231283643385188,2.31,Baixa,7,Baixa,Baixa
11030,160000.0,,,2124.9513032207315,0.0,0.0,0.0,0.0,0.909160497553983,0.0,0.0,0.2272901243884957,2.27,Baixa,7,Baixa,Baixa
11031,160000.0,,,2505.7901140204767,0.0,0.0,0.0,0.0,0.8928800265461313,0.0,0.0,0.2232200066365328,2.23,Baixa,7,Baixa,Baixa
11032,160000.0,,,2891.7972110290507,0.0,0.0,0.0,0.0,0.8763786165704092,0.0,0.0,0.2190946541426023,2.19,Baixa,7,Baixa,Baixa
11033,160000.0,,,3281.1580461641947,0.0,0.0,0.0,0.0,0.8597338377079318,0.0,0.0,0.2149334594269829,2.15,Baixa,7,Baixa,Baixa
11034,160000.0,,,3672.8061666933463,0.0,0.0,0.0,0.0,0.8429912797260795,0.0,0.0,0.2107478199315198,2.11,Baixa,7,Baixa,Baixa
11035,160000.0,,,4066.080686889196,0.0,0.0,0.0,0.0,0.8261791948161148,0.0,0.0,0.2065447987040287,2.07,Baixa,7,Baixa,Baixa
11036,160000.0,,,4460.551441972837,0.0,0.0,0.0,0.0,0.8093159720839088,0.0,0.0,0.2023289930209772,2.02,Baixa,7,Baixa,Baixa
11037,160000.0,,,4855.926912617055,0.0,0.0,0.0,0.0,0.7924140736835812,0.0,0.0,0.1981035184208953,1.98,Baixa,7,Baixa,Baixa
11038,160000.0,,,5252.002779404371,0.0,0.0,0.0,0.0,0.7754822340619852,0.0,0.0,0.1938705585154963,1.94,Baixa,7,Baixa,Baixa
11039,160000.0,,,5648.631711225638,0.0,0.0,0.0,0.0,0.758526751473876,0.0,0.0,0.189631687868469,1.9,Baixa,7,Baixa,Baixa
11040,160000.0,,,6045.704857438586,0.0,0.0,0.0,0.0,0.7415522791732692,0.0,0.0,0.1853880697933173,1.85,Baixa,7,Baixa,Baixa
11041,160000.0,,,6443.140091403348,0.0,0.0,0.0,0.0,0.7245623279903148,0.0,0.0,0.1811405819975787,1.81,Baixa,7,Baixa,Baixa
11042,160000.0,,,6840.874304622312,0.0,0.0,0.0,0.0,0.7075595957489653,0.0,0.0,0.1768898989372413,1.77,Baixa,7,Baixa,Baixa
11043,160000.0,,,7198.18550721162,0.0,0.0,0.0,0.0,0.6922849060125911,0.0,0.0,0.1730712265031477,1.73,Baixa,7,Baixa,Baixa
11044,160000.0,,,7162.653912252361,0.0,0.0,0.0,0.0,0.6938038454830253,0.0,0.0,0.1734509613707563,1.73,Baixa,7,Baixa,Baixa
11045,160000.0,,,7148.070392426259,0.0,0.0,0.0,0.0,0.6944272760919559,0.0,0.0,0.1736068190229889,1.74,Baixa,7,Baixa,Baixa
11046,160000.0,,,7155.851424076503,0.0,0.0,0.0,0.0,0.6940946449193951,0.0,0.0,0.1735236612298487,1.74,Baixa,7,Baixa,Baixa
11047,160000.0,,,7142.281886350786,0.0,0.0,0.0,0.0,0.6946747288269925,0.0,0.0,0.1736686822067481,1.74,Baixa,7,Baixa,Baixa
11048,160000.0,,,6775.009281608722,0.0,0.0,0.0,0.0,0.7103752583526596,0.0,0.0,0.1775938145881649,1.78,Baixa,7,Baixa,Baixa
11049,160000.0,,,6411.654309745192,0.0,0.0,0.0,0.0,0.7259083130656507,0.0,0.0,0.1814770782664126,1.81,Baixa,7,Baixa,Baixa
11050,160000.0,,,6052.922534566577,0.0,0.0,0.0,0.0,0.7412437308323594,0.0,0.0,0.1853109327080898,1.85,Baixa,7,Baixa,Baixa
11051,160000.0,,,5699.686959057809,0.0,0.0,0.0,0.0,0.7563441916649509,0.0,0.0,0.1890860479162377,1.89,Baixa,7,Baixa,Baixa
11052,160000.0,,,5353.035741805152,0.0,0.0,0.0,0.0,0.7711631778929222,0.0,0.0,0.1927907944732305,1.93,Baixa,7,Baixa,Baixa
11053,160000.0,,,5014.33463929495,0.0,0.0,0.0,0.0,0.7856423048184713,0.0,0.0,0.1964105762046178,1.96,Baixa,7,Baixa,Baixa
11054,160000.0,,,4685.030712196703,0.0,0.0,0.0,0.0,0.7997197120728328,0.0,0.0,0.1999299280182082,2.0,Baixa,7,Baixa,Baixa
11055,160000.0,,,4367.3818510885685,0.0,0.0,0.0,0.0,0.8132988771350496,0.0,0.0,0.2033247192837624,2.03,Baixa,7,Baixa,Baixa
11056,160000.0,,,4064.300147898686,0.0,0.0,0.0,0.0,0.82625531104322,0.0,0.0,0.206563827760805,2.07,Baixa,7,Baixa,Baixa
11057,160000.0,,,3779.291884890707,0.0,0.0,0.0,0.0,0.8384391238042032,0.0,0.0,0.2096097809510508,2.1,Baixa,7,Baixa,Baixa
11058,160000.0,,,3516.753987726782,0.0,0.0,0.0,0.0,0.8496623513273222,0.0,0.0,0.2124155878318305,2.12,Baixa,7,Baixa,Baixa
11059,160000.0,,,3219.961792094024,0.0,0.0,0.0,0.0,0.8623499151977401,0.0,0.0,0.215587478799435,2.16,Baixa,7,Baixa,Baixa
11060,160000.0,,,2839.0189780227347,0.0,0.0,0.0,0.0,0.8786348322394493,0.0,0.0,0.2196587080598623,2.2,Baixa,7,Baixa,Baixa
11061,160000.0,,,2463.3852903829866,0.0,0.0,0.0,0.0,0.8946927895373125,0.0,0.0,0.2236731973843281,2.24,Baixa,7,Baixa,Baixa
11062,160000.0,,,2096.7680250068224,0.0,0.0,0.0,0.0,0.9103653039730142,0.0,0.0,0.2275913259932535,2.28,Baixa,7,Baixa,Baixa
11063,160000.0,,,1744.8797129048032,0.0,0.0,0.0,0.0,0.9254081706681084,0.0,0.0,0.2313520426670271,2.31,Baixa,7,Baixa,Baixa
11064,160000.0,,,1418.7227616142934,0.0,0.0,0.0,0.0,0.939351047914111,0.0,0.0,0.2348377619785277,2.35,Baixa,7,Baixa,Baixa
11065,160000.0,,,1140.5890303427548,0.0,0.0,0.0,0.0,0.9512409814499366,0.0,0.0,0.2378102453624841,2.38,Baixa,7,Baixa,Baixa
11066,160000.0,,,952.8830999265948,0.0,0.0,0.0,0.0,0.9592652186639034,0.0,0.0,0.2398163046659758,2.4,Baixa,7,Baixa,Baixa
11067,160000.0,,,906.0922890621564,0.0,0.0,0.0,0.0,0.9612654781388048,0.0,0.0,0.2403163695347011,2.4,Baixa,7,Baixa,Baixa
11068,160000.0,,,1023.7705087708324,0.0,0.0,0.0,0.0,0.956234854184803,0.0,0.0,0.2390587135462007,2.39,Baixa,7,Baixa,Baixa
11069,160000.0,,,1257.3511490433311,0.0,0.0,0.0,0.0,0.946249519880334,0.0,0.0,0.2365623799700835,2.37,Baixa,7,Baixa,Baixa
11070,160000.0,,,1557.5968791817195,0.0,0.0,0.0,0.0,0.9334143209296696,0.0,0.0,0.2333535802324173,2.33,Baixa,7,Baixa,Baixa
11071,160000.0,,,1895.0683797880963,0.0,0.0,0.0,0.0,0.9189877582322892,0.0,0.0,0.2297469395580722,2.3,Baixa,7,Baixa,Baixa
11072,160000.0,,,2253.100150927324,0.0,0.0,0.0,0.0,0.9036822649248148,0.0,0.0,0.2259205662312036,2.26,Baixa,7,Baixa,Baixa
11073,160000.0,,,2623.2873300774318,0.0,0.0,0.0,0.0,0.8878571403137605,0.0,0.0,0.2219642850784401,2.22,Baixa,7,Baixa,Baixa
11074,160000.0,,,2999.2443269689643,0.0,0.0,0.0,0.0,0.8717853618749027,0.0,0.0,0.2179463404687256,2.18,Baixa,7,Baixa,Baixa
11075,160000.0,,,3380.6981468667664,0.0,0.0,0.0,0.0,0.8554785998549311,0.0,0.0,0.2138696499637327,2.14,Baixa,7,Baixa,Baixa
11076,160000.0,,,3766.0023084965383,0.0,0.0,0.0,0.0,0.8390072396502156,0.0,0.0,0.2097518099125539,2.1,Baixa,7,Baixa,Baixa
11077,160000.0,,,4154.085557011812,0.0,0.0,0.0,0.0,0.8224170763136117,0.0,0.0,0.2056042690784029,2.06,Baixa,7,Baixa,Baixa
11078,160000.0,,,4544.235936034463,0.0,0.0,0.0,0.0,0.8057385452546526,0.0,0.0,0.2014346363136631,2.01,Baixa,7,Baixa,Baixa
