cell_id,area_m2,elev_mean,slope_mean,dist_water_m,building_density,hist_event_score,elev_norm,slope_norm,water_norm,imperv_norm,event_norm,score_0_1,score_0_10,classe
25778,160000.0,,,5039.5806744021365,0.0,0.0,0.0,0.0,0.7845630625485918,0.0,0.0,0.19614076563714794,1.96,Baixa
25779,160000.0,,,5423.530942838844,0.0,0.0,0.0,0.0,0.7681495798979815,0.0,0.0,0.19203739497449537,1.92,Baixa
25780,160000.0,,,5809.647356083956,0.0,0.0,0.0,0.0,0.7516434967645633,0.0,0.0,0.18791087419114083,1.88,Baixa
25781,160000.0,,,6197.525063779589,0.0,0.0,0.0,0.0,0.7350621200885101,0.0,0.0,0.18376553002212753,1.84,Baixa
25782,160000.0,,,6586.852923080878,0.0,0.0,0.0,0.0,0.718418750909321,0.0,0.0,0.17960468772733024,1.8,Baixa
25783,160000.0,,,6977.388189317117,0.0,0.0,0.0,0.0,0.7017237663142609,0.0,0.0,0.17543094157856523,1.75,Baixa
25784,160000.0,,,7368.938896377477,0.0,0.0,0.0,0.0,0.6849853726589148,0.0,0.0,0.1712463431647287,1.71,Baixa
25785,160000.0,,,7761.351362531387,0.0,0.0,0.0,0.0,0.668210139680631,0.0,0.0,0.16705253492015776,1.67,Baixa
25786,160000.0,,,8154.501179519855,0.0,0.0,0.0,0.0,0.6514033857056833,0.0,0.0,0.16285084642642084,1.63,Baixa
25787,160000.0,,,8548.286612000888,0.0,0.0,0.0,0.0,0.6345694598162528,0.0,0.0,0.1586423649540632,1.59,Baixa
25788,160000.0,,,8901.985268366156,0.0,0.0,0.0,0.0,0.6194492027490215,0.0,0.0,0.15486230068725537,1.55,Baixa
25789,160000.0,,,9257.680085487244,0.0,0.0,0.0,0.0,0.6042436118439812,0.0,0.0,0.1510609029609953,1.51,Baixa
25790,160000.0,,,9616.474454469924,0.0,0.0,0.0,0.0,0.5889055182559448,0.0,0.0,0.1472263795639862,1.47,Baixa
25791,160000.0,,,9978.402743010434,0.0,0.0,0.0,0.0,0.5734334528009262,0.0,0.0,0.14335836320023154,1.43,Baixa
25792,160000.0,,,10343.135968842511,0.0,0.0,0.0,0.0,0.5578414791355066,0.0,0.0,0.13946036978387666,1.39,Baixa
25793,160000.0,,,10710.387576470295,0.0,0.0,0.0,0.0,0.5421418472150746,0.0,0.0,0.13553546180376866,1.36,Baixa
25794,160000.0,,,11079.907147916665,0.0,0.0,0.0,0.0,0.5263452621529242,0.0,0.0,0.13158631553823105,1.32,Baixa
25795,160000.0,,,11451.475135313369,0.0,0.0,0.0,0.0,0.5104611093966582,0.0,0.0,0.12761527734916456,1.28,Baixa
25796,160000.0,,,11824.898441126075,0.0,0.0,0.0,0.0,0.494497643669063,0.0,0.0,0.12362441091726575,1.24,Baixa
25797,160000.0,,,12199.261815334992,0.0,0.0,0.0,0.0,0.4784939909756546,0.0,0.0,0.11962349774391365,1.2,Baixa
25798,160000.0,,,12573.904699493745,0.0,0.0,0.0,0.0,0.46247838951676945,0.0,0.0,0.11561959737919236,1.16,Baixa
25799,160000.0,,,12950.064476473133,0.0,0.0,0.0,0.0,0.44639794243583086,0.0,0.0,0.11159948560895772,1.12,Baixa
25800,160000.0,,,13327.61270812113,0.0,0.0,0.0,0.0,0.43025814033293297,0.0,0.0,0.10756453508323324,1.08,Baixa
25801,160000.0,,,13706.434658602228,0.0,0.0,0.0,0.0,0.414063888048104,0.0,0.0,0.103515972012026,1.04,Baixa
25802,160000.0,,,14086.427567108449,0.0,0.0,0.0,0.0,0.39781957850115046,0.0,0.0,0.09945489462528762,0.99,Baixa
25803,160000.0,,,14467.499167314763,0.0,0.0,0.0,0.0,0.38152915598342874,0.0,0.0,0.09538228899585718,0.95,Baixa
25804,160000.0,,,14849.56641485245,0.0,0.0,0.0,0.0,0.3651961705570622,0.0,0.0,0.09129904263926555,0.91,Baixa
25805,160000.0,,,15232.55439057988,0.0,0.0,0.0,0.0,0.34882382493899744,0.0,0.0,0.08720595623474936,0.87,Baixa
25806,160000.0,,,15092.536157800409,0.0,0.0,0.0,0.0,0.3548094616826628,0.0,0.0,0.0887023654206657,0.89,Baixa
25807,160000.0,,,14809.30369302394,0.0,0.0,0.0,0.0,0.36691736087915605,0.0,0.0,0.09172934021978901,0.92,Baixa
25808,160000.0,,,14531.562340984272,0.0,0.0,0.0,0.0,0.3787905206027352,0.0,0.0,0.0946976301506838,0.95,Baixa
25809,160000.0,,,14259.632963986558,0.0,0.0,0.0,0.0,0.39041522431688047,0.0,0.0,0.09760380607922012,0.98,Baixa
25810,160000.0,,,13993.854382024698,0.0,0.0,0.0,0.0,0.4017769878121804,0.0,0.0,0.1004442469530451,1.0,Baixa
25811,160000.0,,,13734.58367272236,0.0,0.0,0.0,0.0,0.4128605463841595,0.0,0.0,0.10321513659603987,1.03,Baixa
25812,160000.0,,,13482.19629217404,0.0,0.0,0.0,0.0,0.4236498496674458,0.0,0.0,0.10591246241686145,1.06,Baixa
